,spyct
abalone,0.6424945612762871
acute-inflammation,1.0
acute-nephritis,1.0
adult,0.8458245439880878
annealing,0.9057239057239057
arrhythmia,0.6733333333333333
audiology-std,0.8461538461538461
balance-scale,0.8888888888888888
balloons,0.8333333333333334
bank,0.900804289544236
blood,0.7692307692307693
breast-cancer,0.7157894736842105
breast-cancer-wisc,0.9696969696969697
breast-cancer-wisc-diag,0.9893617021276596
breast-cancer-wisc-prog,0.8636363636363636
breast-tissue,0.8
car,0.9772329246935202
cardiotocography-3clases,0.9387464387464387
cardiotocography-10clases,0.8660968660968661
chess-krvk,0.7616373258451237
chess-krvkp,0.9943127962085309
congressional-voting,0.6388888888888888
conn-bench-sonar-mines-rocks,0.9130434782608695
conn-bench-vowel-deterding,0.9847094801223242
connect-4,0.7989593612631202
contrac,0.5564681724845996
credit-approval,0.8552631578947368
cylinder-bands,0.7810650887573964
dermatology,0.9834710743801653
echocardiogram,0.7954545454545454
ecoli,0.8648648648648649
energy-y1,0.9566929133858267
energy-y2,0.9133858267716536
fertility,0.9393939393939394
flags,0.5230769230769231
glass,0.7887323943661971
haberman-survival,0.7425742574257426
hayes-roth,0.8113207547169812
heart-cleveland,0.57
heart-hungarian,0.8061224489795918
heart-switzerland,0.2926829268292683
heart-va,0.3484848484848485
hepatitis,0.8076923076923077
hill-valley,0.4825
horse-colic,0.8688524590163934
ilpd-indian-liver,0.7150259067357513
image-segmentation,0.9842726081258192
ionosphere,0.9137931034482759
iris,0.98
led-display,0.7181818181818181
lenses,0.875
letter,0.9701515151515151
libras,0.865546218487395
low-res-spect,0.8636363636363636
lung-cancer,0.45454545454545453
lymphography,0.7755102040816326
magic,0.8725505814879719
mammographic,0.839622641509434
miniboone,0.9404268207446065
molec-biol-promoter,0.8285714285714286
molec-biol-splice,0.9259259259259259
monks-1,0.967391304347826
monks-2,0.6733668341708543
monks-3,0.9617486338797814
mushroom,1.0
musk-1,0.8607594936708861
musk-2,0.9820936639118457
nursery,0.34276361935936406
oocytes_merluccius_nucleus_4d,0.8106508875739645
oocytes_merluccius_states_2f,0.9467455621301775
oocytes_trisopterus_nucleus_2f,0.8438538205980066
oocytes_trisopterus_states_5b,0.9136212624584718
optical,0.9757412398921833
ozone,0.977299880525687
page-blocks,0.9728832318760376
parkinsons,0.9384615384615385
pendigits,0.9955898566703418
pima,0.7362204724409449
pittsburg-bridges-MATERIAL,0.8857142857142857
pittsburg-bridges-REL-L,0.7058823529411765
pittsburg-bridges-SPAN,0.6451612903225806
pittsburg-bridges-T-OR-D,0.7941176470588235
pittsburg-bridges-TYPE,0.6
planning,0.6885245901639344
plant-margin,0.634469696969697
plant-shape,0.4166666666666667
plant-texture,0.6553030303030303
post-operative,0.5666666666666667
primary-tumor,0.46788990825688076
ringnorm,0.9561834561834562
seeds,0.9
semeion,0.9334600760456274
soybean,0.9469026548672567
spambase,0.956550362080316
spect,0.7045454545454546
spectf,0.9213483146067416
statlog-australian-credit,0.6754385964912281
statlog-german-credit,0.7515151515151515
statlog-heart,0.8222222222222222
statlog-image,0.9711664482306684
statlog-landsat,0.9096045197740112
statlog-shuttle,0.9996865203761756
statlog-vehicle,0.7928571428571428
steel-plates,0.7878315132605305
synthetic-control,0.9949494949494949
teaching,0.66
thyroid,0.9915824915824916
tic-tac-toe,0.9905362776025236
titanic,0.7895460797799174
trains,0.75
twonorm,0.9803439803439803
vertebral-column-2clases,0.8446601941747572
vertebral-column-3clases,0.8155339805825242
wall-following,0.9627984453081622
waveform,0.8636363636363636
waveform-noise,0.8745454545454545
wine,1.0
wine-quality-red,0.6609848484848485
wine-quality-white,0.66852195423624
yeast,0.6142857142857143
zoo,0.9411764705882353
