name,wodt_bag
abalone,0.6430746918056562
acute-inflammation,1.0
acute-nephritis,1.0
adult,0.84347933986847
annealing,0.8707070707070708
arrhythmia,0.6306666666666667
audiology-std,0.76
balance-scale,0.8927536231884059
balloons,0.9
bank,0.8936997319034854
blood,0.7376518218623482
breast-cancer,0.6778947368421052
breast-cancer-wisc,0.96017316017316
breast-cancer-wisc-diag,0.9765957446808511
breast-cancer-wisc-prog,0.7969696969696971
breast-tissue,0.6914285714285714
car,0.9383537653239931
cardiotocography-3clases,0.9005698005698004
cardiotocography-10clases,0.784045584045584
chess-krvk,0.43428015984447566
chess-krvkp,0.9770616113744076
congressional-voting,0.6
conn-bench-sonar-mines-rocks,0.8666666666666668
conn-bench-vowel-deterding,0.9229357798165138
connect-4,0.777742890463802
contrac,0.506776180698152
credit-approval,0.8342105263157894
cylinder-bands,0.7171597633136094
dermatology,0.965289256198347
echocardiogram,0.7045454545454546
ecoli,0.8576576576576578
energy-y1,0.8622047244094488
energy-y2,0.8724409448818898
fertility,0.8424242424242424
flags,0.49230769230769234
glass,0.7098591549295774
haberman-survival,0.693069306930693
hayes-roth,0.6792452830188679
heart-cleveland,0.536
heart-hungarian,0.8020408163265307
heart-switzerland,0.32682926829268294
heart-va,0.31212121212121213
hepatitis,0.7807692307692308
hill-valley,0.607
horse-colic,0.8245901639344261
ilpd-indian-liver,0.6849740932642486
image-segmentation,0.9478374836173001
ionosphere,0.8775862068965518
iris,0.984
led-display,0.7054545454545454
lenses,0.825
letter,0.800090909090909
libras,0.7865546218487394
low-res-spect,0.8125
lung-cancer,0.5636363636363636
lymphography,0.8204081632653061
magic,0.8544846264138919
mammographic,0.8031446540880504
miniboone,0.8912492428125438
molec-biol-promoter,0.7771428571428571
molec-biol-splice,0.806837606837607
monks-1,0.9021739130434783
monks-2,0.6663316582914574
monks-3,0.8786885245901639
mushroom,0.9995524058187243
musk-1,0.8278481012658228
musk-2,0.972451790633609
nursery,0.9501519756838906
oocytes_merluccius_nucleus_4d,0.7420118343195267
oocytes_merluccius_states_2f,0.931360946745562
oocytes_trisopterus_nucleus_2f,0.770764119601329
oocytes_trisopterus_states_5b,0.9056478405315614
optical,0.9657142857142856
ozone,0.9663082437275985
page-blocks,0.9628112894299946
parkinsons,0.8676923076923077
pendigits,0.9866041896361631
pima,0.7039370078740158
pittsburg-bridges-MATERIAL,0.8799999999999999
pittsburg-bridges-REL-L,0.6235294117647059
pittsburg-bridges-SPAN,0.5870967741935483
pittsburg-bridges-T-OR-D,0.8352941176470589
pittsburg-bridges-TYPE,0.5771428571428571
planning,0.5868852459016394
plant-margin,0.5583333333333333
plant-shape,0.34886363636363643
plant-texture,0.540530303030303
post-operative,0.5866666666666667
primary-tumor,0.4385321100917431
ringnorm,0.8525798525798527
seeds,0.9285714285714286
semeion,0.8939163498098859
soybean,0.9415929203539823
spambase,0.935483870967742
spect,0.7340909090909091
spectf,0.844943820224719
statlog-australian-credit,0.6166666666666667
statlog-german-credit,0.7187878787878788
statlog-heart,0.8266666666666665
statlog-image,0.9360419397116646
statlog-landsat,0.8751412429378531
statlog-shuttle,0.998307210031348
statlog-vehicle,0.7621428571428571
steel-plates,0.7322932917316692
synthetic-control,0.9848484848484848
teaching,0.5920000000000001
thyroid,0.9702861952861953
tic-tac-toe,0.9602523659305995
titanic,0.7889958734525446
trains,0.75
twonorm,0.9742833742833742
vertebral-column-2clases,0.8097087378640776
vertebral-column-3clases,0.8058252427184465
wall-following,0.8433092726263187
waveform,0.8427878787878788
waveform-noise,0.8494545454545455
wine,0.9864406779661017
wine-quality-red,0.5734848484848485
wine-quality-white,0.561038961038961
yeast,0.6085714285714285
zoo,0.9235294117647058
